username,acctdesc,location,following,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags,followers
Gazali05387868,,,96,89,20122,2020-01-07 13:55:49,2021-02-14 23:58:15,167,"Keterlibatan Keluarga MENTERI BUMN Erick Thohir Atas Bisnis Vaksin SINOVAC Dari RRC Rp. 2,6 Trilliun?
 Pernah Dengar Istilah CONFLICT OF INTEREST? Atau Pak Menteri Erick Thohir Tidak Peduli? Presiden Jokowi Tidak Peduli Atau Malah Merestui?

https://t.co/9oil8otYKU",[]
tempodotco,"Official Twitter account of Tempo Media Group. Follow us for breaking news, current events, special reports, and something more from https://t.co/X6ONLydjhj",Indonesia,25,1728065,900740,2008-12-15 03:54:15,2021-02-14 23:57:34,1,"Vaksinasi COVID-19 produksi Sinovac diyakini Ketua Pengurus Besar Perhimpunan Gerontologi Medik Indonesia (Pergemi) Siti Setiati aman dan mampu melindungi kekebalan pada tubuh individu berusia lanjut. #TempoVideo
https://t.co/uOlI0Fddnq","[{'text': 'TempoVideo', 'indices': [201, 212]}]"
AsyirahP,"Mutualan kuy , baru bikin",,45,24,46,2021-01-25 05:24:16,2021-02-14 23:57:13,0,"Total ada 230.293 org tenaga kesehatan, yang seharusnya menerima vaksin Covid - 19 Sinovac, berdasarkan data yang dihimpun Dinkes Provinsi Jawa Timur",[]
DedeApripirrr,"Dipanggang , tidak digoreng",,72,38,42,2021-01-21 16:17:09,2021-02-14 23:55:28,0,"Total ada 230.293 orang tenaga kesehatan, yg seharusnya menerima vaksin Covid - 19 Sinovac, berdasarkan data yg dihimpun Dinkes Provinsi Jatim",[]
perangutan_,"Allahummaghfirlahum warhamhum. Hanya kasih & kekuatan dari Penguasa Pemilik Hakiki Alam & Kehidupan. Pembela Islam dilarang, setidaknya biarkan Pemeluk Islam.",Indonesia,1215,1177,39705,2018-07-11 15:21:14,2021-02-14 23:54:13,167,"Keterlibatan Keluarga MENTERI BUMN Erick Thohir Atas Bisnis Vaksin SINOVAC Dari RRC Rp. 2,6 Trilliun?
 Pernah Dengar Istilah CONFLICT OF INTEREST? Atau Pak Menteri Erick Thohir Tidak Peduli? Presiden Jokowi Tidak Peduli Atau Malah Merestui?

https://t.co/9oil8otYKU",[]
BastoniAnton,"Tampang preman , hati hellokity",,51,32,41,2021-01-21 16:17:10,2021-02-14 23:53:33,0,"Total ada 230.293 orng tenaga kesehatan, yang seharusnya menerima vaksin Covid - 19 Sinovac, berdasarkan data yang dihimpun Dinkes Jawa Timur",[]
AfifRosyidik,Cimol kentang,,38,29,43,2021-01-21 15:16:05,2021-02-14 23:51:45,0,"Total ada 230.293 org tenaga kesehatan, yg seharusnya menerima vaksin Covid - 19 Sinovac, berdasarkan data yg dihimpun Dinkes Jatim",[]
RUSYDAN62544336,bandar gabah,,72,106,19142,2019-12-23 10:43:16,2021-02-14 23:49:26,167,"Keterlibatan Keluarga MENTERI BUMN Erick Thohir Atas Bisnis Vaksin SINOVAC Dari RRC Rp. 2,6 Trilliun?
 Pernah Dengar Istilah CONFLICT OF INTEREST? Atau Pak Menteri Erick Thohir Tidak Peduli? Presiden Jokowi Tidak Peduli Atau Malah Merestui?

https://t.co/9oil8otYKU",[]
VenaAprilia13,Tim bubur ga di aduk,,39,26,44,2021-01-19 06:42:10,2021-02-14 23:44:20,0,"Berdasar data yang dihimpun Dinkes Provinsi Jawa Timur, total ada 230.293 org tenaga kesehatan, yang seharusnya menerima vaksin Covid - 19 Sinovac",[]
SekarDamayant16,Terus berjuang,,53,34,43,2021-01-19 06:09:52,2021-02-14 23:42:51,0,"Berdasar data yg dihimpun Dinkes Provinsi Jatim, total ada 230.293 orang tenaga kesehatan, yg seharusnya menerima vaksin Covid - 19 Sinovac",[]
